City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Yellowknife,CA,2020-05-09 19:42:26,62.46,-114.35,32.0,65,20,9.17,few clouds,0.0,0.0
1,Rikitea,PF,2020-05-09 19:42:26,-23.12,-134.97,75.69,64,0,1.95,clear sky,0.0,0.0
2,Port Macquarie,AU,2020-05-09 19:42:27,-31.43,152.92,53.01,94,0,13.49,clear sky,0.0,0.0
3,Port Alfred,ZA,2020-05-09 19:42:27,-33.59,26.89,62.01,96,1,1.99,clear sky,0.0,0.0
4,Atuona,PF,2020-05-09 19:42:27,-9.8,-139.03,81.19,76,94,17.87,overcast clouds,0.0,0.0
5,Chadiza,ZM,2020-05-09 19:42:27,-14.07,32.44,57.45,84,0,5.44,clear sky,0.0,0.0
6,Hilo,US,2020-05-09 19:42:28,19.73,-155.09,71.6,83,90,5.82,moderate rain,0.0,0.0
7,Santa Maria Del Oro,MX,2020-05-09 19:42:28,25.93,-105.37,79.14,22,9,3.56,clear sky,0.0,0.0
8,Cape Town,ZA,2020-05-09 19:39:02,-33.93,18.42,59.0,93,0,5.82,clear sky,0.0,0.0
9,Jamestown,US,2020-05-09 19:37:32,42.1,-79.24,30.2,86,90,13.87,heavy snow,0.0,0.0
10,Mataura,NZ,2020-05-09 19:42:28,-46.19,168.86,45.82,85,21,3.8,few clouds,0.0,0.0
11,Shalakusha,RU,2020-05-09 19:42:29,62.22,40.25,43.25,89,64,3.6,broken clouds,0.0,0.0
12,Punta Arenas,CL,2020-05-09 19:42:29,-53.15,-70.92,44.6,93,75,4.7,broken clouds,0.0,0.0
13,Albany,US,2020-05-09 19:42:29,42.6,-73.97,43.0,43,68,19.64,broken clouds,0.0,0.0
14,East London,ZA,2020-05-09 19:42:29,-33.02,27.91,66.4,82,26,8.01,scattered clouds,0.0,0.0
15,Lebu,CL,2020-05-09 19:42:29,-37.62,-73.65,58.39,77,100,16.75,overcast clouds,0.0,0.0
16,New Norfolk,AU,2020-05-09 19:42:30,-42.78,147.06,41.0,85,18,3.06,few clouds,0.0,0.0
17,Gold Coast,AU,2020-05-09 19:42:30,-28.0,153.43,64.0,93,15,3.36,few clouds,0.0,0.0
18,Lompoc,US,2020-05-09 19:37:50,34.64,-120.46,71.01,77,1,6.53,clear sky,0.0,0.0
19,Batsfjord,NO,2020-05-09 19:42:31,70.63,29.72,29.1,91,91,3.27,overcast clouds,0.0,0.0
20,Abha,SA,2020-05-09 19:37:36,18.22,42.51,71.6,82,14,9.17,few clouds,0.0,0.0
21,Zhuanghe,CN,2020-05-09 19:42:31,39.7,122.99,59.0,85,100,3.0,overcast clouds,0.0,0.0
22,Busselton,AU,2020-05-09 19:42:31,-33.65,115.33,41.0,72,0,5.57,clear sky,0.0,0.0
23,Bluff,NZ,2020-05-09 19:42:31,-46.6,168.33,52.09,78,57,10.11,broken clouds,0.0,0.0
24,Kieta,PG,2020-05-09 19:42:32,-6.22,155.63,80.24,81,75,5.37,light rain,0.0,0.0
25,Ribeira Grande,PT,2020-05-09 19:42:32,38.52,-28.7,64.4,88,75,18.34,broken clouds,0.0,0.0
26,Kruisfontein,ZA,2020-05-09 19:37:53,-34.0,24.73,58.98,85,0,3.76,clear sky,0.0,0.0
27,Luganville,VU,2020-05-09 19:42:32,-15.53,167.17,77.0,83,40,5.82,scattered clouds,0.0,0.0
28,Talnakh,RU,2020-05-09 19:42:32,69.49,88.4,30.2,92,75,22.37,broken clouds,0.0,0.0
29,Naze,JP,2020-05-09 19:42:33,28.37,129.48,71.6,94,75,5.82,broken clouds,0.0,0.0
30,Palmerston,AU,2020-05-09 19:42:33,-12.49,130.98,77.0,83,43,4.7,scattered clouds,0.0,0.0
31,Half Moon Bay,US,2020-05-09 19:42:33,37.46,-122.43,70.0,87,40,5.82,mist,0.0,0.0
32,Tombouctou,ML,2020-05-09 19:42:33,20.0,-3.0,90.63,11,0,2.53,clear sky,0.0,0.0
33,Port Elizabeth,ZA,2020-05-09 19:42:34,-33.92,25.57,64.4,93,0,6.93,clear sky,0.0,0.0
34,Barrow,US,2020-05-09 19:42:34,71.29,-156.79,26.6,79,90,11.41,overcast clouds,0.0,0.0
35,Mar Del Plata,AR,2020-05-09 19:42:34,-38.0,-57.56,71.01,59,0,18.34,clear sky,0.0,0.0
36,Bredasdorp,ZA,2020-05-09 19:42:34,-34.53,20.04,62.6,88,0,5.82,clear sky,0.0,0.0
37,Hervey Bay,AU,2020-05-09 19:42:35,-25.3,152.85,62.01,87,100,3.0,light rain,0.0,0.0
38,Kapaa,US,2020-05-09 19:42:35,22.08,-159.32,75.2,73,75,18.34,light rain,0.0,0.0
39,Victoria,HK,2020-05-09 19:42:35,22.29,114.16,82.99,85,69,5.99,broken clouds,0.0,0.0
40,Kasempa,ZM,2020-05-09 19:42:35,-13.46,25.83,62.38,68,9,6.2,clear sky,0.0,0.0
41,Oktyabrskiy,RU,2020-05-09 19:42:35,54.48,53.47,61.57,58,4,12.5,clear sky,0.0,0.0
42,Mbuji-Mayi,CD,2020-05-09 19:42:36,-6.15,23.6,74.14,83,38,3.53,scattered clouds,0.0,0.0
43,Alofi,NU,2020-05-09 19:42:36,-19.06,-169.92,78.8,88,51,5.82,broken clouds,0.0,0.0
44,Ust-Kuyga,RU,2020-05-09 19:42:36,70.02,135.6,28.11,97,100,4.34,overcast clouds,0.0,0.0
45,Hithadhoo,MV,2020-05-09 19:42:36,-0.6,73.08,85.06,77,100,13.58,light rain,0.0,0.0
46,Santa Cruz,BO,2020-05-09 19:41:57,-17.8,-63.17,82.4,37,0,16.11,clear sky,0.0,0.0
47,Butaritari,KI,2020-05-09 19:42:36,3.07,172.79,82.94,81,0,11.72,clear sky,0.0,0.0
48,Saskylakh,RU,2020-05-09 19:38:00,71.92,114.08,19.6,95,100,16.06,light snow,0.0,0.0
49,Auburn,US,2020-05-09 19:41:50,47.31,-122.23,84.0,24,75,6.93,broken clouds,0.0,0.0
50,Vilcun,CL,2020-05-09 19:42:37,-38.65,-72.23,59.0,72,75,17.22,broken clouds,0.0,0.0
51,Parakan,ID,2020-05-09 19:42:37,-6.42,106.01,74.8,88,90,1.1,overcast clouds,0.0,0.0
52,Yar-Sale,RU,2020-05-09 19:42:37,66.83,70.83,33.33,93,96,6.46,overcast clouds,0.0,0.0
53,Ushuaia,AR,2020-05-09 19:42:38,-54.8,-68.3,48.2,81,75,0.54,broken clouds,0.0,0.0
54,Pleshanovo,RU,2020-05-09 19:42:38,52.83,53.48,61.07,61,59,8.75,light rain,0.0,0.0
55,Pervomayskiy,RU,2020-05-09 19:42:38,53.25,40.29,50.13,89,100,5.01,overcast clouds,0.0,0.0
56,Oistins,BB,2020-05-09 19:42:38,13.07,-59.53,86.0,58,40,23.04,shower rain,0.0,0.0
57,Clyde River,CA,2020-05-09 19:42:38,70.47,-68.59,14.0,85,90,18.34,light snow,0.0,0.0
58,Arraial Do Cabo,BR,2020-05-09 19:42:39,-22.97,-42.03,75.2,64,0,8.05,clear sky,0.0,0.0
59,Vaini,TO,2020-05-09 19:42:39,-21.2,-175.2,78.8,94,40,9.17,scattered clouds,0.0,0.0
60,Puerto Ayora,EC,2020-05-09 19:42:39,-0.74,-90.35,82.4,74,40,16.11,scattered clouds,0.0,0.0
61,Rock Sound,BS,2020-05-09 19:42:39,24.9,-76.2,78.76,80,100,8.05,moderate rain,0.0,0.0
62,Kodiak,US,2020-05-09 19:39:59,57.79,-152.41,44.6,87,90,8.05,overcast clouds,0.0,0.0
63,Coahuayana,MX,2020-05-09 19:42:40,18.73,-103.68,91.4,38,40,11.41,scattered clouds,0.0,0.0
64,Elko,US,2020-05-09 19:42:40,41.0,-115.5,73.0,12,1,3.36,clear sky,0.0,0.0
65,Mahebourg,MU,2020-05-09 19:42:40,-20.41,57.7,75.2,83,75,9.17,shower rain,0.0,0.0
66,Sao Domingos,BR,2020-05-09 19:42:40,-13.4,-46.32,72.81,72,97,10.11,overcast clouds,0.0,0.0
67,Saint George,US,2020-05-09 19:37:59,37.1,-113.58,88.0,12,1,3.36,clear sky,0.0,0.0
68,Acapulco,MX,2020-05-09 19:42:41,16.86,-99.89,87.8,70,5,5.82,clear sky,0.0,0.0
69,San Patricio,MX,2020-05-09 19:42:41,19.22,-104.7,86.0,79,5,11.41,clear sky,0.0,0.0
70,Torbay,CA,2020-05-09 19:42:41,47.67,-52.73,46.99,45,90,25.28,overcast clouds,0.0,0.0
71,Pitimbu,BR,2020-05-09 19:42:41,-7.47,-34.81,84.2,66,20,17.22,few clouds,0.0,0.0
72,Georgetown,MY,2020-05-09 19:42:42,5.41,100.34,82.4,94,40,6.29,light rain,0.0,0.0
73,Yulara,AU,2020-05-09 19:42:42,-25.24,130.99,53.6,46,84,8.05,broken clouds,0.0,0.0
74,Bengkulu,ID,2020-05-09 19:42:42,-3.8,102.27,76.3,91,94,4.14,light rain,0.0,0.0
75,Zyryanka,RU,2020-05-09 19:42:42,65.75,150.85,29.86,98,100,17.85,overcast clouds,0.0,0.0
76,Dire,ML,2020-05-09 19:42:43,12.28,-10.97,94.59,30,93,5.28,overcast clouds,0.0,0.0
77,Codrington,AU,2020-05-09 19:37:45,-38.27,141.97,45.75,77,41,8.68,scattered clouds,0.0,0.0
78,Atar,MR,2020-05-09 19:42:43,20.52,-13.05,92.1,12,9,11.3,clear sky,0.0,0.0
79,Dikson,RU,2020-05-09 19:42:43,73.51,80.55,26.4,97,92,18.39,overcast clouds,0.0,0.0
80,Constitucion,CL,2020-05-09 19:42:44,-35.33,-72.42,61.05,79,22,4.81,few clouds,0.0,0.0
81,Tuktoyaktuk,CA,2020-05-09 19:42:44,69.45,-133.04,30.2,80,40,20.8,scattered clouds,0.0,0.0
82,Kahului,US,2020-05-09 19:38:06,20.89,-156.47,78.8,61,40,14.99,light rain,0.0,0.0
83,Matagami,CA,2020-05-09 19:42:44,49.75,-77.63,26.6,73,90,16.11,light snow,0.0,0.0
84,Kaitangata,NZ,2020-05-09 19:42:44,-46.28,169.85,48.99,96,100,1.99,overcast clouds,0.0,0.0
85,Bat Khela,PK,2020-05-09 19:42:45,34.62,71.97,73.24,54,84,6.98,broken clouds,0.0,0.0
86,Kavieng,PG,2020-05-09 19:42:45,-2.57,150.8,83.05,79,2,8.52,clear sky,0.0,0.0
87,Gidam,IN,2020-05-09 19:42:45,18.98,81.4,82.98,44,0,3.4,clear sky,0.0,0.0
88,Karaton,ID,2020-05-09 19:42:45,-6.34,106.1,80.6,94,94,5.82,overcast clouds,0.0,0.0
89,Castro,BR,2020-05-09 19:41:36,-24.79,-50.01,64.45,64,0,3.74,clear sky,0.0,0.0
90,Bethel,US,2020-05-09 19:41:29,41.37,-73.41,44.01,35,90,11.41,overcast clouds,0.0,0.0
91,Thompson,CA,2020-05-09 19:42:43,55.74,-97.86,35.6,47,75,14.99,broken clouds,0.0,0.0
92,Santa Rosa,PH,2020-05-09 19:42:46,14.31,121.11,82.4,74,20,3.36,few clouds,0.0,0.0
93,Provideniya,RU,2020-05-09 19:42:46,64.38,-173.3,38.82,77,100,20.74,overcast clouds,0.0,0.0
94,Turukhansk,RU,2020-05-09 19:42:46,65.82,87.98,31.32,94,100,9.95,overcast clouds,0.0,0.0
95,Koslan,RU,2020-05-09 19:42:46,63.46,48.9,43.77,89,72,2.37,broken clouds,0.0,0.0
96,Kanigoro,ID,2020-05-09 19:42:47,-8.13,112.22,74.61,91,100,2.44,overcast clouds,0.0,0.0
97,Khorixas,NA,2020-05-09 19:42:47,-20.37,14.97,71.04,23,0,6.58,clear sky,0.0,0.0
98,Homer,US,2020-05-09 19:42:47,59.64,-151.55,52.0,57,1,5.82,clear sky,0.0,0.0
99,Saldanha,ZA,2020-05-09 19:42:48,-33.01,17.94,62.6,72,0,6.93,clear sky,0.0,0.0
100,Luderitz,NA,2020-05-09 19:42:48,-26.65,15.16,64.4,63,0,3.36,clear sky,0.0,0.0
101,Vardo,NO,2020-05-09 19:37:53,70.37,31.11,34.95,83,75,3.49,broken clouds,0.0,0.0
102,Kang,BW,2020-05-09 19:42:48,-23.68,22.79,64.42,37,0,3.58,clear sky,0.0,0.0
103,Abu Dhabi,AE,2020-05-09 19:39:51,24.47,54.37,86.0,51,0,2.24,clear sky,0.0,0.0
104,Tomigusuku,JP,2020-05-09 19:42:49,26.18,127.67,75.2,94,75,6.93,broken clouds,0.0,0.0
105,College,US,2020-05-09 19:42:49,64.86,-147.8,66.0,36,75,5.82,broken clouds,0.0,0.0
106,Nikolskoye,RU,2020-05-09 19:42:49,59.7,30.79,46.4,49,0,4.47,clear sky,0.0,0.0
107,Marsa Matruh,EG,2020-05-09 19:42:49,31.35,27.25,64.49,66,0,6.98,clear sky,0.0,0.0
108,Camacha,PT,2020-05-09 19:38:27,33.08,-16.33,66.2,68,40,16.11,scattered clouds,0.0,0.0
109,Hofn,IS,2020-05-09 19:42:50,64.25,-15.21,34.43,75,100,9.37,overcast clouds,0.0,0.0
110,Klyuchi,RU,2020-05-09 19:42:50,52.27,79.17,56.37,54,0,10.49,clear sky,0.0,0.0
111,Wonthaggi,AU,2020-05-09 19:42:50,-38.6,145.59,48.99,81,54,17.25,light rain,0.0,0.0
112,Cabedelo,BR,2020-05-09 19:42:50,-6.98,-34.83,84.2,66,20,17.22,few clouds,0.0,0.0
113,Pacific Grove,US,2020-05-09 19:42:51,36.62,-121.92,70.0,63,1,9.17,clear sky,0.0,0.0
114,Isangel,VU,2020-05-09 19:42:51,-19.55,169.27,64.4,93,3,4.7,clear sky,0.0,0.0
115,Tura,IN,2020-05-09 19:42:51,25.52,90.22,76.33,42,0,3.24,clear sky,0.0,0.0
116,Belyy Yar,RU,2020-05-09 19:42:51,53.6,91.39,39.2,49,0,1.97,clear sky,0.0,0.0
117,Salalah,OM,2020-05-09 19:42:51,17.02,54.09,84.2,83,0,3.36,clear sky,0.0,0.0
118,Chokurdakh,RU,2020-05-09 19:42:52,70.63,147.92,22.19,98,53,5.03,broken clouds,0.0,0.0
119,Ancud,CL,2020-05-09 19:42:52,-41.87,-73.82,55.99,93,90,20.8,overcast clouds,0.0,0.0
120,Beaune,FR,2020-05-09 19:42:52,47.08,4.75,68.0,52,77,5.82,light rain,0.0,0.0
121,Hermanus,ZA,2020-05-09 19:42:52,-34.42,19.23,64.99,64,0,6.26,clear sky,0.0,0.0
122,Ponta Do Sol,PT,2020-05-09 19:42:52,32.67,-17.1,69.8,60,40,5.82,scattered clouds,0.0,0.0
123,Rosarito,MX,2020-05-09 19:42:53,32.33,-117.03,73.99,64,20,11.41,few clouds,0.0,0.0
124,Dulce Nombre De Culmi,HN,2020-05-09 19:42:53,15.1,-85.53,86.0,60,89,3.78,moderate rain,0.0,0.0
125,Erdenet,MN,2020-05-09 19:42:53,49.03,104.08,32.2,90,27,3.33,scattered clouds,0.0,0.0
126,Grootfontein,NA,2020-05-09 19:42:53,-19.57,18.12,58.51,36,0,5.73,clear sky,0.0,0.0
127,Tuatapere,NZ,2020-05-09 19:42:54,-46.13,167.68,52.2,84,88,6.58,overcast clouds,0.0,0.0
128,Tasiilaq,GL,2020-05-09 19:42:54,65.61,-37.64,33.01,85,100,7.72,overcast clouds,0.0,0.0
129,Cabo San Lucas,MX,2020-05-09 19:42:54,22.89,-109.91,88.0,37,5,11.41,clear sky,0.0,0.0
130,Nanortalik,GL,2020-05-09 19:42:54,60.14,-45.24,43.75,60,25,14.81,scattered clouds,0.0,0.0
131,Khatanga,RU,2020-05-09 19:42:55,71.97,102.5,16.88,96,54,11.12,broken clouds,0.0,0.0
132,Klaksvik,FO,2020-05-09 19:42:55,62.23,-6.59,33.8,59,47,14.99,light rain,0.0,0.0
133,Touros,BR,2020-05-09 19:42:55,-5.2,-35.46,82.4,78,75,8.05,broken clouds,0.0,0.0
134,Carnarvon,AU,2020-05-09 19:42:55,-24.87,113.63,74.57,44,100,13.4,overcast clouds,0.0,0.0
135,Ponazyrevo,RU,2020-05-09 19:42:55,58.36,46.31,52.84,96,41,5.7,scattered clouds,0.0,0.0
136,Gobabis,NA,2020-05-09 19:42:56,-22.45,18.97,60.8,38,0,3.36,clear sky,0.0,0.0
137,Solnechnyy,RU,2020-05-09 19:38:19,50.72,136.63,44.37,66,100,2.21,overcast clouds,0.0,0.0
138,Rawson,AR,2020-05-09 19:42:56,-43.3,-65.1,67.08,29,43,18.75,scattered clouds,0.0,0.0
139,Bambous Virieux,MU,2020-05-09 19:42:56,-20.34,57.76,75.2,83,75,9.17,shower rain,0.0,0.0
140,Kindu,CD,2020-05-09 19:42:56,-2.95,25.95,71.83,98,100,1.45,light rain,0.0,0.0
141,Abilene,US,2020-05-09 19:42:57,32.45,-99.73,75.0,37,1,9.04,clear sky,0.0,0.0
142,Niquero,CU,2020-05-09 19:42:57,20.04,-77.58,86.45,66,100,7.56,overcast clouds,0.0,0.0
143,Burgeo,CA,2020-05-09 19:42:57,47.62,-57.62,39.31,95,100,25.17,heavy intensity rain,0.0,0.0
144,Ixtapa,MX,2020-05-09 19:42:57,20.7,-105.2,84.2,66,5,11.41,clear sky,0.0,0.0
145,Boa Vista,BR,2020-05-09 19:42:58,2.82,-60.67,87.8,58,75,13.87,broken clouds,0.0,0.0
146,Usinsk,RU,2020-05-09 19:42:58,65.99,57.53,42.8,72,100,3.4,overcast clouds,0.0,0.0
147,Nishihara,JP,2020-05-09 19:42:58,26.18,127.76,75.2,94,75,6.93,broken clouds,0.0,0.0
148,Vilhena,BR,2020-05-09 19:39:03,-12.74,-60.15,78.8,69,40,6.93,scattered clouds,0.0,0.0
149,Esperance,AU,2020-05-09 19:42:58,-33.87,121.9,48.2,93,0,10.29,clear sky,0.0,0.0
150,Dongsheng,CN,2020-05-09 19:42:59,39.82,109.98,45.34,48,0,16.98,clear sky,0.0,0.0
151,Cedar City,US,2020-05-09 19:42:59,37.68,-113.06,71.6,14,1,3.36,clear sky,0.0,0.0
152,Tiksi,RU,2020-05-09 19:42:59,71.69,128.87,15.62,94,0,5.01,clear sky,0.0,0.0
153,Havelock,US,2020-05-09 19:42:59,34.88,-76.9,62.6,29,1,8.05,clear sky,0.0,0.0
154,Itarema,BR,2020-05-09 19:43:00,-2.92,-39.92,80.4,85,70,7.76,light rain,0.0,0.0
155,Maues,BR,2020-05-09 19:42:45,-3.38,-57.72,82.42,90,100,0.67,moderate rain,0.0,0.0
156,Baishishan,CN,2020-05-09 19:43:00,43.58,127.57,50.79,91,100,1.05,overcast clouds,0.0,0.0
157,Ludvika,SE,2020-05-09 19:43:00,60.15,15.19,53.6,62,19,4.7,few clouds,0.0,0.0
158,Portland,US,2020-05-09 19:43:00,45.52,-122.68,84.0,26,75,23.04,broken clouds,0.0,0.0
159,Pisco,PE,2020-05-09 19:43:01,-13.7,-76.22,73.4,69,12,6.93,few clouds,0.0,0.0
160,Jalu,LY,2020-05-09 19:43:01,29.03,21.55,72.07,20,83,7.67,broken clouds,0.0,0.0
161,Saint-Pierre,RE,2020-05-09 19:43:02,-21.34,55.48,71.6,78,20,5.82,few clouds,0.0,0.0
162,Vanimo,PG,2020-05-09 19:43:02,-2.67,141.3,78.51,86,19,4.0,few clouds,0.0,0.0
163,Maragogi,BR,2020-05-09 19:43:02,-9.01,-35.22,78.44,80,75,6.69,broken clouds,0.0,0.0
164,Hobart,AU,2020-05-09 19:40:11,-42.88,147.33,45.0,75,40,3.36,scattered clouds,0.0,0.0
165,Avarua,CK,2020-05-09 19:43:02,-21.21,-159.78,80.6,83,6,13.87,clear sky,0.0,0.0
166,Fairbanks,US,2020-05-09 19:38:53,64.84,-147.72,64.0,35,1,4.7,clear sky,0.0,0.0
167,Fallon,US,2020-05-09 19:43:03,39.47,-118.78,79.0,11,1,3.36,clear sky,0.0,0.0
168,Kotido,UG,2020-05-09 19:43:03,2.98,34.13,71.89,72,100,7.4,overcast clouds,0.0,0.0
169,Pestyaki,RU,2020-05-09 19:43:03,56.71,42.67,51.66,94,99,8.68,overcast clouds,0.0,0.0
170,Nushki,PK,2020-05-09 19:43:04,29.55,66.02,80.53,15,36,6.53,scattered clouds,0.0,0.0
171,Souillac,MU,2020-05-09 19:43:04,-20.52,57.52,75.2,83,75,9.17,shower rain,0.0,0.0
172,Newton,US,2020-05-09 19:38:06,42.34,-71.21,46.0,35,98,24.16,overcast clouds,0.0,0.0
173,Haines Junction,CA,2020-05-09 19:43:04,60.75,-137.51,61.59,41,64,1.9,broken clouds,0.0,0.0
174,Longyearbyen,SJ,2020-05-09 19:43:05,78.22,15.64,19.4,57,40,17.22,scattered clouds,0.0,0.0
175,Sladkovo,RU,2020-05-09 19:43:05,55.53,70.34,57.85,44,0,8.3,clear sky,0.0,0.0
176,Ornskoldsvik,SE,2020-05-09 19:43:05,63.29,18.72,39.2,55,100,10.29,light snow,0.0,0.0
177,Dryden,CA,2020-05-09 19:43:05,49.78,-92.75,42.8,38,20,10.29,few clouds,0.0,0.0
178,Beringovskiy,RU,2020-05-09 19:43:06,63.05,179.32,32.4,97,100,36.84,snow,0.0,0.0
179,Novo Aripuana,BR,2020-05-09 19:43:06,-5.12,-60.38,86.81,65,93,2.21,overcast clouds,0.0,0.0
180,Tahoua,NE,2020-05-09 19:43:06,14.89,5.27,91.69,18,6,4.68,clear sky,0.0,0.0
181,Cabra,ES,2020-05-09 19:43:07,37.47,-4.44,64.0,60,76,4.0,broken clouds,0.0,0.0
182,Nuevo Laredo,MX,2020-05-09 19:43:07,27.48,-99.52,78.8,50,40,5.82,scattered clouds,0.0,0.0
183,Chuy,UY,2020-05-09 19:43:07,-33.7,-53.46,63.93,58,82,6.76,broken clouds,0.0,0.0
184,Comodoro Rivadavia,AR,2020-05-09 19:39:26,-45.87,-67.5,60.8,51,75,18.34,broken clouds,0.0,0.0
185,Saint-Philippe,RE,2020-05-09 19:43:07,-21.36,55.77,71.6,78,20,5.82,few clouds,0.0,0.0
186,Kailahun,SL,2020-05-09 19:43:07,8.28,-10.57,75.09,94,100,4.65,moderate rain,0.0,0.0
187,Vila Velha,BR,2020-05-09 19:43:08,-20.33,-40.29,73.4,64,75,9.17,broken clouds,0.0,0.0
188,Yeppoon,AU,2020-05-09 19:43:08,-23.13,150.73,57.2,93,90,4.61,overcast clouds,0.0,0.0
189,Bucak,TR,2020-05-09 19:43:08,37.46,30.59,68.0,58,0,4.7,clear sky,0.0,0.0
